Intensidade,Frequência
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,1
23,1
24,0
25,5
26,7
27,40
28,60
29,174
30,273
31,249
32,462
33,415
34,751
35,1024
36,1163
37,1107
38,1325
39,1641
40,1749
41,1821
42,1776
43,1962
44,2323
45,2715
46,2607
47,3093
48,3227
49,2429
50,2620
51,2729
52,2107
53,2694
54,2217
55,2224
56,2576
57,2044
58,2764
59,2209
60,2543
61,2456
62,2401
63,2694
64,2369
65,2489
66,2562
67,2460
68,2732
69,2380
70,2461
71,2579
72,2383
73,2325
74,2225
75,2213
76,2165
77,2058
78,2112
79,2005
80,1889
81,1894
82,1965
83,1934
84,1663
85,1894
86,1777
87,1794
88,1792
89,1849
90,1891
91,1626
92,1870
93,1748
94,1763
95,1708
96,1831
97,1855
98,1865
99,1823
100,1735
101,1832
102,1722
103,1724
104,1724
105,1726
106,1797
107,1646
108,1736
109,1558
110,1673
111,1652
112,1604
113,1517
114,1479
115,1540
116,1600
117,1502
118,1571
119,1511
120,1588
121,1390
122,1454
123,1348
124,1538
125,1379
126,1456
127,1486
128,1393
129,1409
130,1395
131,1469
132,1323
133,1342
134,1386
135,1313
136,1420
137,1510
138,1792
139,2011
140,2197
141,2925
142,3398
143,2784
144,2170
145,1930
146,1714
147,1627
148,1562
149,1691
150,1637
151,2226
152,2446
153,5041
154,4057
155,3518
156,5481
157,6667
158,6460
159,7049
160,6291
161,6456
162,6517
163,7014
164,6465
165,6102
166,5862
167,6340
168,6094
169,5826
170,6088
171,6186
172,6155
173,6180
174,6141
175,6028
176,5896
177,5702
178,5739
179,5634
180,5309
181,5419
182,5231
183,5140
184,5299
185,5197
186,4947
187,4875
188,4762
189,4793
190,4522
191,4684
192,4538
193,4224
194,4298
195,4296
196,4348
197,4037
198,4060
199,4314
200,4120
201,4130
202,3920
203,3718
204,3818
205,3872
206,3939
207,3613
208,3717
209,3864
210,3837
211,3784
212,3705
213,3562
214,3762
215,3768
216,4041
217,3916
218,4075
219,4320
220,4079
221,4194
222,3682
223,3893
224,3924
225,4014
226,4461
227,4550
228,4896
229,5402
230,6748
231,7521
232,6399
233,4550
234,2816
235,1480
236,1063
237,577
238,392
239,321
240,260
241,191
242,167
243,109
244,88
245,64
246,63
247,32
248,35
249,26
250,11
251,10
252,11
253,6
254,6
255,11
