Intensidade,Frequência
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,1
14,8
15,16
16,77
17,254
18,446
19,583
20,1130
21,1759
22,2402
23,2876
24,2983
25,3308
26,3045
27,3270
28,3570
29,4768
30,3394
31,3601
32,4578
33,3316
34,3502
35,4212
36,3370
37,4254
38,4238
39,3284
40,4062
41,3949
42,3072
43,3703
44,3609
45,3520
46,3412
47,3184
48,2889
49,2863
50,2764
51,2788
52,2555
53,2548
54,2507
55,2754
56,2394
57,2359
58,2505
59,2387
60,2563
61,2519
62,2532
63,2304
64,2279
65,2289
66,2300
67,2320
68,2347
69,2089
70,2287
71,2213
72,2212
73,2081
74,2050
75,1954
76,1885
77,1971
78,2092
79,1853
80,1714
81,1711
82,1841
83,1728
84,1766
85,1577
86,1732
87,1616
88,1711
89,1731
90,1537
91,1640
92,1647
93,1607
94,1647
95,1558
96,1497
97,1448
98,1391
99,1354
100,1564
101,4559
102,5923
103,5260
104,5741
105,7035
106,7032
107,8340
108,6419
109,7477
110,7393
111,7738
112,6215
113,5258
114,5266
115,5094
116,5592
117,5621
118,5218
119,5257
120,5994
121,6943
122,6379
123,7036
124,5839
125,6641
126,6249
127,5421
128,5357
129,5158
130,5002
131,4868
132,4888
133,5239
134,4793
135,4454
136,4679
137,4366
138,4295
139,3833
140,3925
141,4065
142,4234
143,3973
144,3838
145,3617
146,3672
147,3616
148,3424
149,3469
150,3309
151,3307
152,3313
153,3366
154,3227
155,3206
156,3154
157,3124
158,2849
159,2862
160,2716
161,2622
162,2767
163,2826
164,2873
165,2610
166,2524
167,2565
168,2586
169,2567
170,2509
171,2551
172,2449
173,2505
174,2360
175,2337
176,2320
177,2428
178,2441
179,2479
180,2384
181,2492
182,2123
183,2001
184,2208
185,2088
186,2134
187,2254
188,2173
189,1789
190,1559
191,1802
192,1819
193,2046
194,1743
195,1744
196,1841
197,1806
198,1772
199,1768
200,1640
201,1514
202,1777
203,1872
204,1896
205,1666
206,1731
207,1817
208,1580
209,1457
210,1256
211,1374
212,1502
213,1389
214,1265
215,1407
216,1310
217,1005
218,1404
219,1716
220,1683
221,2028
222,2687
223,2514
224,1880
225,1552
226,1521
227,1395
228,1015
229,614
230,459
231,418
232,302
233,172
234,161
235,143
236,151
237,115
238,111
239,66
240,67
241,70
242,51
243,15
244,3
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
