Intensidade,Frequência
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,1
14,6
15,12
16,64
17,223
18,453
19,441
20,1200
21,1718
22,2218
23,2601
24,2914
25,3023
26,3142
27,3557
28,3472
29,5215
30,3390
31,3436
32,4656
33,3270
34,3303
35,4388
36,3243
37,4259
38,4407
39,3188
40,4019
41,4101
42,3019
43,3706
44,3671
45,3539
46,3429
47,3202
48,2966
49,2913
50,2854
51,2793
52,2563
53,2600
54,2506
55,2747
56,2410
57,2349
58,2505
59,2373
60,2576
61,2512
62,2522
63,2298
64,2344
65,2297
66,2370
67,2309
68,2358
69,2105
70,2247
71,2209
72,2199
73,2080
74,2046
75,1945
76,1954
77,1981
78,2076
79,1858
80,1834
81,1887
82,1903
83,1756
84,1718
85,1679
86,1664
87,1615
88,1812
89,1650
90,1583
91,1655
92,1670
93,1611
94,1804
95,1598
96,1505
97,1697
98,1508
99,1358
100,1534
101,4652
102,5861
103,5329
104,5774
105,6891
106,7863
107,7974
108,7416
109,7542
110,7739
111,7743
112,6170
113,5650
114,5463
115,5809
116,5671
117,5658
118,5764
119,6342
120,6951
121,6847
122,7359
123,6249
124,6650
125,6157
126,5432
127,5336
128,5186
129,5107
130,5076
131,5116
132,5282
133,4767
134,4646
135,4752
136,4544
137,4262
138,4101
139,4121
140,4110
141,4178
142,4290
143,3771
144,3724
145,3739
146,3506
147,3506
148,3290
149,3370
150,3355
151,3488
152,3311
153,3557
154,3221
155,3287
156,2870
157,2995
158,2842
159,2754
160,2932
161,2925
162,2793
163,2666
164,2585
165,2575
166,2662
167,2496
168,2578
169,2427
170,2497
171,2499
172,2416
173,2323
174,2464
175,2500
176,2485
177,2423
178,2561
179,2204
180,2055
181,2162
182,2167
183,2375
184,2192
185,2035
186,2015
187,1838
188,1709
189,1978
190,1777
191,1914
192,1841
193,1867
194,1745
195,1621
196,1639
197,1807
198,1689
199,1689
200,1874
201,1621
202,1507
203,1620
204,1723
205,1605
206,1479
207,1260
208,1390
209,1447
210,1332
211,1260
212,1359
213,1328
214,966
215,1226
216,1452
217,1350
218,1379
219,1507
220,2004
221,2399
222,2138
223,1586
224,1427
225,1380
226,1147
227,1221
228,628
229,465
230,360
231,364
232,216
233,140
234,154
235,136
236,153
237,100
238,101
239,64
240,72
241,69
242,49
243,8
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
